# Coulesia story graph — alignment-keyed grid
#
# Every level past 1 has up to 9 nodes, one per D&D alignment.
# Node IDs: "<level>-<alignment-code>" where the code is one of
#   lg ng cg   ln tn cn   le ne ce
# Routing: each choice button has data-law and data-good (integers).
# story.js applies the deltas, computes the new alignment bucket
# (threshold T=2), and routes to "<level+1>-<bucket>.html"
# automatically. No data-next attributes.
#
# Exceptions to the 9-per-level rule:
#   - Level 0 is one intro node (0-a)
#   - Level 1 is gender-distinct (1-m / 1-f), routed by 0-a's form
#
# Vacant slots (alignments not first-pass reachable at a given level)
# are listed below for tracking. They may stay vacant or be filled
# later if a re-entry mechanism is added.

# ── Beat anchors ─────────────────────────────────────────────────────
# L0  Waking (name, gender)
# L1  The man in the ditch
# L2  Your hands' first wage
# L3  The stranger who reads you
# L4  The second man in the ditch
# L5  A name from before
# L6  TBD

# ── Level 0 ──────────────────────────────────────────────────────────
0-a                                    # intro; form routes to 1-m / 1-f

# ── Level 1 ──────────────────────────────────────────────────────────
1-m   male body, man in the ditch
1-f   female body, man in the ditch
# Each L1 node has three choices with the same deltas:
#   help  +2 law / +2 good   → state (2, 2)   → 2-lg
#   hide  -2 law / +1 good   → state (-2, 1)  → 2-cn
#   rob   -1 law / -3 good   → state (-1, -3) → 2-ne

# ── Level 2 — Your hands' first wage ─────────────────────────────────
2-lg   Kinsman          (help → kinsman-lie holds, warden-house at noon)
2-cn   The Reeds        (hide → mud over the charm, wardens questioning)
2-ne   A Man's Pockets  (rob  → silver, phial, vellum, the open road)
# Vacant L2 slots (no first-pass entry from L1):
#   2-ng 2-cg 2-ln 2-tn 2-le 2-ce

# L2 choice deltas and L3 destinations:
#   2-lg  state (2,2)
#     A  +1/+1  → (3,3)   → 3-lg   honour the noon summons
#     B  -3/+1  → (-1,3)  → 3-ng   break the bargain, off-road south
#     C   0/-4  → (2,-2)  → 3-le   recant; inform on him at the warden-house
#   2-cn  state (-2,1)
#     A  +3/-1  → (1,0)   → 3-tn   cooperate fully, surrender him
#     B  -1/+2  → (-3,3)  → 3-cg   bold lie, send wardens west
#     C   0/-3  → (-2,-2) → 3-ce   spook the horses, draw the knife
#   2-ne  state (-1,-3)
#     A  -1/-1  → (-2,-4) → 3-ce   return and silence him with a stone
#     B  +2/+3  → (1,0)   → 3-tn   off the road, retreat from the act
#     C  +3/+1  → (2,-2)  → 3-le   press on to Sadaiziche, sell the silver

# ── Level 3 — The stranger who reads you ─────────────────────────────
3-lg   The Clerk's Pen        (south-gate clerk by the book; the kinsman lie meets the registry)
3-ng   The Cup-Bearer's Hand  (wayside Vabum shrine; Mira the temple-nurse asks nothing)
3-cg   The Rider Without a Cord (Behnam, Mardesran outrider, comes down the ditch)
3-tn   The Pedlar's Donkey    (Razin the old pedlar at a roadside fire; will not remember your face)
3-le   The Indenture-Broker   (Yusef at the south-gate market; three doors, one pen)
3-ce   The Question-Priest    (Mehrdad at the crossroads; three doors, one robe)
# Vacant L3 slots (no first-pass entry from L2):
#   3-ln 3-cn 3-ne

